question,option_a,option_b,option_c,option_d,correct_answer,explanation,evidence,page_number,chunk_id,difficulty,bloom_level
"Câu thơ 'Dân ta phải biết sử ta, Cho tường gốc tích nước nhà Việt Nam' thể hiện ý nghĩa gì?",Cho dân tộc biết về các nguồn sử liệu,Để dân tộc học hỏi từ quá khứ,Phân biệt các loại tư liệu sử,Giúp dân tộc hiểu rõ lịch sử bản thân,D,Câu thơ nhấn mạnh tầm quan trọng của việc hiểu rõ lịch sử bản thân.,"'Dân ta phải biết sử ta, Cho tường gốc tích nước nhà Việt Nam'. (Lịch sử nước ta, Hồ Chí Minh)",6,page_006_01,easy,remember
Hình 1.2 minh họa về lễ hội Đền Hai Bà Trưng nhằm ghi nhớ sự kiện nào?,Lễ kỷ niệm chiến thắng quân Hán,Hình ảnh về cuộc sống hàng ngày của người dân xưa,Lễ hội tưởng niệm ngày thành lập nước Việt Nam,"Tuồng nhớ cuộc khởi nghĩa của Trung Trắc, Trung Nhị",D,"Hình 1.2 minh họa về lễ hội Đền Hai Bà Trưng, tuồng nhớ Trung Trắc, Trung Nhị dựng cờ khởi nghĩa lật đổ ách đô hộ của nhà Hán (40 – 43).","Hình 1.2. Lễ hội Đền Hai Bà Trưng (Mê Linh, Hà Nội), tuồng nhớ Trung Trắc, Trung Nhị dựng cờ khởi nghĩa lật đổ ách đô hộ của nhà Hán (40 – 43)",6,page_006_01,medium,remember
Lịch sử loài người bao gồm những gì?,Các sự kiện thiên nhiên,Phân tích hiện tượng vũ trụ,Điều tra về động vật hoang dã,Những hoạt động của con người trong quá khứ,D,"Lịch sử loài người bao gồm toàn bộ những hoạt động của con người trong quá khứ, như được nêu rõ ở đoạn văn.",Lịch sử loài người là toàn bộ những hoạt động của con người trong quá khứ.,7,page_007_01,easy,remember
Môn Lịch sử là môn học gì?,Môn học tìm hiểu về lịch sử loài người,Môn nghệ thuật,Môn khoa học tự nhiên,Môn thể thao,A,"Môn Lịch sử là môn học tìm hiểu về lịch sử loài người và những hoạt động chính của con người trong quá khứ, như được nêu rõ ở đoạn văn.",Môn Lịch sử là môn học tìm hiểu về lịch sử loài người và những hoạt động chính của con người trong quá khứ.,7,page_007_01,easy,remember
Tại sao cần phải học lịch sử?,Để làm giàu,Để chơi game,Để nấu ăn,Để biết về quá khứ,D,"Học lịch sử giúp con người hiểu rõ hơn về quá khứ, từ đó rút ra kinh nghiệm và tránh lặp lại sai lầm trong tương lai.","Mỗi con người, sự vật, vùng đất, quốc gia hay thế giới đều trải qua những thay đổi theo thời gian, chủ yếu là do con người tạo nên.",7,page_007_01,medium,understand
Cầu Long Biên được xây dựng vào khoảng thời gian nào?,Năm 2009 - 2015,Năm 1960 - 1970,Năm 40 - 43,Năm 1898 - 1902,D,"Theo thông tin trong đoạn văn, cầu Long Biên được xây dựng từ năm 1898 đến năm 1902.","Hình 1.5. Cầu Long Biên, Hà Nội (xây dựng từ năm 1898 đến năm 1902)",7,page_007_01,hard,apply
Sự kiện trong Hình 1.7 đánh dấu bước ngoặt lịch sử nào của dân tộc Việt Nam?,Tuyên bố độc lập năm 1954,Độc lập năm 1945,Thành lập nước Việt Nam Dân chủ Cộng hòa,Kỷ niệm 70 năm chiến thắng Mỹ,C,"Hình 1.7 mô tả Chủ tịch Hồ Chí Minh đọc bản Tuyên ngôn Độc lập, thành lập nước Việt Nam Dân chủ Cộng hòa.","Chủ tịch Hồ Chí Minh đọc bản Tuyên ngôn Độc lập tại Quảng trường Ba Đình, Hà Nội (2-9-1945), thành lập nước Việt Nam Dân chủ Cộng hoà",8,page_008_01,easy,remember
"Trong các hình minh họa từ 1.3 đến 1.6, kỹ thuật canh tác nông nghiệp của người nông dân Việt Nam đã có sự thay đổi như thế nào?",Từ canh tác nhỏ lẻ sang canh tác tập trung,Từ canh tác đơn giản sang phức tạp,Từ canh tác thủ công sang sử dụng máy móc,Không có sự thay đổi đáng kể,D,"Đoạn văn không đề cập cụ thể về sự thay đổi trong kỹ thuật canh tác nông nghiệp, nên chọn đáp án không có sự thay đổi đáng kể là phù hợp.","Học lịch sử để biết được cội nguồn của tổ tiên, quê hương, đất nước; hiểu được tổ tiên, ông cha đã sống, lao động, đấu tranh như thế nào để có được đất nước như ngày nay",8,page_008_01,hard,analyze
Hệ thống giao thông ở Hà Nội trong Hình 1.7 có sự thay đổi so với trước đây không?,Không có thay đổi,Thay đổi từ đường thủy sang đường bộ,Thay đổi từ đường bộ sang đường sắt,Thay đổi từ đường bộ sang đường thủy,A,"Đoạn văn không đề cập đến sự thay đổi trong hệ thống giao thông ở Hà Nội, nên chọn đáp án không có thay đổi là phù hợp.","Học lịch sử để biết được cội nguồn của tổ tiên, quê hương, đất nước; hiểu được tổ tiên, ông cha đã sống, lao động, đấu tranh như thế nào để có được đất nước như ngày nay",8,page_008_01,easy,remember
Loại tư liệu lịch sử được thể hiện trong hình 1.12 là gì?,Tư liệu vật chất,Tư liệu âm thanh,Tư liệu văn bản,Tư liệu đồ họa,A,"Hình 1.12 là bìa chủ quyền quấn đảo Trường Sa, một tư liệu vật chất.","<center>Hình 1.12. Bìa chủ quyền quấn đảo Trường Sa tại đảo Nam Yết (Khánh Hoà, Việt Nam), được công nhận là Di tích lịch sử quốc gia vào năm 2014</center>",10,page_010_01,easy,remember
